city,year,cable,fiber,mobile broadband dedicated,number of broadband subscriptions - total,number of cable tv subscriptions,number of fixed broadband subscriptions - total,number of fixed telephony access lines,number of mobile broadband subscriptions - total,number of mobile telephony subscriptions  3g+4.5g,number of mobile telephony subscriptions - 2g,number of mobile telephony subscriptions - 3g,number of mobile telephony subscriptions - total,number of payhones,other,population,santral capacity for fixed telephony,standard mobile broadband,the length of fiber-km,xdsl
HAKKARİ,2020,0,2334,1780,202470,0,18026,16038,184444,197947,604,0,198551,171,367,280514,23351,182664,1997,15325
HAKKARİ,2021,0,3218,1236,210191,0,20493,17480,189698,202689,606,0,203295,124,406,278218,25512,188462,2222,16869
HATAY,2007,0,0,0,0,0,0,259841,0,0,0,0,1047348,913,0,1386224,333222,0,0,0
HATAY,2008,0,0,0,0,0,0,234227,0,0,0,0,1108751,941,0,1413287,311919,0,0,0
HATAY,2009,0,0,0,0,0,0,218185,0,0,0,0,1047268,989,0,1448418,313188,0,0,0
HATAY,2010,0,0,0,0,0,0,210218,0,0,682724,351421,1034145,1086,0,1480571,318736,0,0,0
HATAY,2011,0,0,16121,347577,0,89842,194501,257735,551375,537079,0,1088454,1226,127,1474223,306601,241614,0,89715
HATAY,2012,0,1040,21549,429453,0,94309,177591,335144,778926,379135,0,1158061,1209,150,1483674,323912,313595,2223,93119
HATAY,2013,0,3059,21256,525731,0,103910,166957,421821,950289,291383,0,1241672,1218,199,1503066,311574,400565,2353,100652
HATAY,2014,0,4472,17632,715054,0,112569,156642,602485,1098807,194723,0,1293530,980,196,1519836,314339,584853,2321,107901
HATAY,2015,0,6088,18585,840406,0,118866,143125,721540,1113598,198874,0,1312472,1028,128,1533507,336764,702955,2725,112650
HATAY,2016,0,6710,14593,1108718,0,129038,132115,979680,1278953,50134,0,1329087,1077,3369,1555165,231042,965087,2978,118959
HATAY,2017,0,11197,10452,1210023,0,159089,129817,1050934,1336706,26006,0,1362712,505,7910,1575226,187243,1040482,3370,139982
HATAY,2018,0,16763,8493,1286370,0,184396,144168,1101974,1377385,12856,0,1390241,426,12879,1609856,173043,1093481,3864,154754
HATAY,2019,0,22058,10997,1313474,0,197179,149830,1116295,1356606,7203,0,1363809,377,12734,1628894,174872,1105298,4387,162387
HATAY,2020,0,32516,6109,1476132,0,246108,161151,1230024,1440142,6706,0,1446848,376,27988,1659320,193339,1223915,4988,185604
HATAY,2021,0,41821,5694,1576696,0,281416,161455,1295280,1488382,6966,0,1495348,344,48443,1670712,202711,1289586,5431,191152
ISPARTA,2007,0,0,0,0,0,0,113762,0,0,0,0,345431,850,0,419845,130939,0,0,0
ISPARTA,2008,0,0,0,0,0,0,107033,0,0,0,0,363210,831,0,407463,129078,0,0,0
ISPARTA,2009,0,0,0,0,0,0,100973,0,0,0,0,345494,888,0,420796,182469,0,0,0
ISPARTA,2010,0,0,0,0,0,0,98579,0,0,251757,83085,334842,958,0,448298,136455,0,0,0
ISPARTA,2011,0,0,6909,101118,0,39059,90318,62059,140257,210225,0,350482,959,53,411245,144541,55150,0,39006
ISPARTA,2012,0,641,8277,127847,0,38774,80303,89073,189604,171142,0,360746,994,63,416663,134544,80796,1673,38070
ISPARTA,2013,0,1028,7980,152693,0,40911,72984,111782,225266,135991,0,361257,999,42,417774,151888,103802,1775,39841
ISPARTA,2014,0,1122,6045,197130,0,43524,66498,153606,278962,85658,0,364620,1027,399,418780,134781,147561,1882,42003
ISPARTA,2015,0,1164,7387,227737,0,46097,63019,181640,305537,54494,0,360031,1021,22,421766,134141,174253,1942,44911
ISPARTA,2016,0,1630,6568,296716,0,52988,67894,243728,343859,23796,0,367655,994,331,427324,139549,237160,2086,51027
ISPARTA,2017,0,2937,4459,329531,0,62817,69579,266714,357953,14564,0,372517,906,1839,433830,127378,262255,2311,58041
ISPARTA,2018,0,4684,3581,356025,0,70726,75619,285299,371133,6252,0,377385,855,2143,441412,79928,281718,2394,63899
ISPARTA,2019,0,5946,3733,378791,0,74005,77871,304786,384687,3087,0,387774,719,2145,444914,77112,301053,2580,65914
ISPARTA,2020,0,7671,2550,407575,0,85031,71715,322544,386436,2351,0,388787,682,3965,440304,93408,319994,2758,73395
ISPARTA,2021,0,10571,2438,430657,0,89946,72160,340711,400105,3306,0,403411,586,2669,445678,96511,338273,3050,76706
IĞDIR,2007,0,0,0,0,0,0,22309,0,0,0,0,112350,178,0,181866,32008,0,0,0
IĞDIR,2008,0,0,0,0,0,0,21027,0,0,0,0,119910,178,0,184025,30167,0,0,0
IĞDIR,2009,0,0,0,0,0,0,18521,0,0,0,0,114191,186,0,183486,27852,0,0,0
IĞDIR,2010,0,0,0,0,0,0,18084,0,0,70756,41130,111886,188,0,184418,27895,0,0,0
IĞDIR,2011,0,0,1688,35337,0,7420,17361,27917,63351,56939,0,120290,220,7,188857,36631,26229,0,7413
IĞDIR,2012,0,101,1966,43107,0,7556,15798,35551,80882,43265,0,124147,229,9,190409,35903,33585,736,7446
IĞDIR,2013,0,252,2159,52811,0,8250,14633,44561,92975,34042,0,127017,237,113,190424,34367,42402,751,7885
IĞDIR,2014,0,373,1550,69475,0,8517,13178,60958,108699,20352,0,129051,248,33,192056,29492,59408,691,8111
IĞDIR,2015,0,588,1614,81638,0,8927,12307,72711,117373,12530,0,129903,262,9,192435,29837,71097,790,8330
IĞDIR,2016,0,989,1190,110418,0,10273,12058,100145,127102,4314,0,131416,263,11,192785,28895,98955,807,9273
IĞDIR,2017,0,1499,797,119603,0,11960,12386,107643,131035,2216,0,133251,255,9,194775,28519,106846,888,10452
IĞDIR,2018,0,2115,738,127222,0,14029,13396,113193,134458,1036,0,135494,254,15,197456,28278,112455,1067,11899
IĞDIR,2019,0,2649,934,132115,0,15334,14427,116781,135776,687,0,136463,168,13,199442,27502,115847,1239,12672
IĞDIR,2020,0,4279,505,150112,0,23570,18196,126542,139468,620,0,140088,113,2464,201314,28988,126037,1295,16827
IĞDIR,2021,0,4668,502,155807,0,22896,19079,132911,146748,693,0,147441,101,10,203159,27717,132409,1419,18218
KAHRAMANMARAŞ,2007,0,0,0,0,0,0,144061,0,0,0,0,688295,533,0,1004414,197721,0,0,0
KAHRAMANMARAŞ,2008,0,0,0,0,0,0,127176,0,0,0,0,733143,533,0,1029298,181471,0,0,0
KAHRAMANMARAŞ,2009,0,0,0,0,0,0,113167,0,0,0,0,708566,553,0,1037491,185810,0,0,0
KAHRAMANMARAŞ,2010,0,0,0,0,0,0,110422,0,0,456084,218123,674207,550,0,1044816,179523,0,0,0
KAHRAMANMARAŞ,2011,0,0,9606,202902,0,42193,103354,160709,357649,357029,0,714678,575,51,1054210,190209,151103,0,42142
KAHRAMANMARAŞ,2012,0,1496,12107,248783,0,45720,92044,203063,461954,287721,0,749675,581,61,1063174,192477,190956,2160,44163
KAHRAMANMARAŞ,2013,0,4340,13325,300277,0,50811,90525,249466,539335,238879,0,778214,455,185,1075706,218761,236141,2219,46286
KAHRAMANMARAŞ,2014,0,5852,10035,415278,0,54109,83660,361169,655824,152976,0,808800,383,184,1089038,171466,351134,2480,48073
KAHRAMANMARAŞ,2015,0,6724,10742,511965,0,58720,77993,453245,653465,182773,0,836238,381,53,1096610,164464,442503,2792,51943
KAHRAMANMARAŞ,2016,0,8477,8315,697503,0,67859,84774,629644,818418,46000,0,864418,376,315,1112634,138336,621329,3023,59067
KAHRAMANMARAŞ,2017,0,10650,5646,776390,0,82656,81651,693734,871187,31438,0,902625,207,4061,1127623,132151,688088,3512,67945
KAHRAMANMARAŞ,2018,0,14223,4947,832702,0,97049,87751,735653,893025,21162,0,914187,395,5129,1144851,137728,730706,3853,77697
KAHRAMANMARAŞ,2019,0,18770,6075,852198,0,106336,86421,745862,892249,18782,0,911031,399,5483,1154102,140796,739787,4548,82083
KAHRAMANMARAŞ,2020,0,29673,3498,952679,0,146281,104463,806398,921327,19191,0,940518,384,13157,1168163,146640,802900,5178,103451
KAHRAMANMARAŞ,2021,0,47391,3444,1017880,0,169214,115174,848666,962039,19533,0,981572,373,20061,1171298,143672,845222,5978,101762
KARABÜK,2007,0,0,0,0,0,0,66727,0,0,0,0,174687,284,0,218463,76536,0,0,0
KARABÜK,2008,0,0,0,0,0,0,64603,0,0,0,0,185136,289,0,216248,74026,0,0,0
KARABÜK,2009,0,0,0,0,0,0,61102,0,0,0,0,179069,281,0,218564,81378,0,0,0
KARABÜK,2010,0,0,0,0,0,0,59563,0,0,124186,51616,175802,282,0,227610,88786,0,0,0
KARABÜK,2011,0,0,4410,64298,0,22500,55336,41798,84110,100188,0,184298,314,13,219728,83280,37388,0,22487
KARABÜK,2012,0,1584,5590,77042,0,23058,49854,53984,105731,84950,0,190681,363,16,225145,86920,48394,928,21458
KARABÜK,2013,0,2755,5229,91449,0,25759,44214,65690,123096,70566,0,193662,351,23,230251,97445,60461,963,22981
KARABÜK,2014,0,3816,3396,116516,0,28825,39700,87691,149367,47209,0,196576,349,26,231333,85904,84295,982,24983
KARABÜK,2015,0,4849,3183,138144,0,31819,35207,106325,135696,59279,0,194975,350,22,236978,76308,103142,1025,26948
KARABÜK,2016,0,6600,2946,177344,0,35809,32419,141535,182623,13762,0,196385,294,22,242347,70624,138589,1183,29187
KARABÜK,2017,0,8839,1900,195478,0,40898,31929,154580,190355,8477,0,198832,272,20,244453,73906,152680,1303,32039
KARABÜK,2018,0,10970,1294,209480,0,45277,33816,164203,198645,2840,0,201485,164,23,248014,74813,162909,1401,34284
KARABÜK,2019,0,11742,1418,217840,0,47137,38791,170703,201948,1350,0,203298,148,21,248458,56813,169285,1638,35374
KARABÜK,2020,0,13788,906,229446,0,52670,42099,176776,204003,1114,0,205117,126,23,243614,64373,175870,1732,38859
KARABÜK,2021,0,17459,846,243760,0,57045,42802,186715,207720,1084,0,208804,116,25,249287,61992,185869,1810,39561
KARAMAN,2007,0,0,0,0,0,0,56366,0,0,0,0,180983,312,0,226049,68052,0,0,0
KARAMAN,2008,0,0,0,0,0,0,52287,0,0,0,0,190265,306,0,230145,67329,0,0,0
KARAMAN,2009,0,0,0,0,0,0,49214,0,0,0,0,182302,319,0,231872,69656,0,0,0
KARAMAN,2010,0,0,0,0,0,0,48395,0,0,123179,55569,178748,335,0,232633,69637,0,0,0
KARAMAN,2011,0,0,2361,56990,0,19189,44654,37801,87261,97509,0,184770,334,14,234005,69781,35440,0,19175
KARAMAN,2012,0,521,2930,68444,0,19304,40332,49140,107727,84266,0,191993,345,17,235424,68987,46210,814,18766
KARAMAN,2013,0,736,2922,82965,0,20672,37671,62293,128372,67540,0,195912,345,21,237939,72149,59371,929,19915
KARAMAN,2014,0,613,2420,108064,0,21801,34601,86263,157692,42800,0,200492,346,22,240362,73644,83843,1219,21166
KARAMAN,2015,783,594,2860,130623,794,23399,31446,107224,151594,51652,0,203246,348,17,242196,50392,104364,1328,22005
KARAMAN,2016,2458,610,2109,176427,2471,26602,30346,149825,195358,11888,0,207246,348,19,245610,54048,147716,1439,23515
KARAMAN,2017,3672,810,1310,192492,3711,30936,31904,161556,200888,7293,0,208181,350,27,246672,51440,160246,1576,26427
KARAMAN,2018,5005,1445,985,206794,4948,36251,33448,170543,207317,2692,0,210009,333,32,251913,44403,169558,1686,29769
KARAMAN,2019,6156,1996,1123,213683,5826,39302,33491,174381,208099,1343,0,209442,218,30,253279,43984,173258,1859,31120
KARAMAN,2020,8419,2698,641,231695,7705,48971,38867,182724,205002,985,0,205987,149,29,254919,49688,182083,2021,37825
KARAMAN,2021,9627,3534,541,247101,8781,53382,38400,193719,216230,983,0,217213,141,362,258838,48520,193178,2216,39859
KARS,2007,0,0,0,0,0,0,44181,0,0,0,0,176809,391,0,312205,73876,0,0,0
KARS,2008,0,0,0,0,0,0,39921,0,0,0,0,192046,407,0,312128,67217,0,0,0
KARS,2009,0,0,0,0,0,0,35880,0,0,0,0,180049,431,0,306536,59430,0,0,0
KARS,2010,0,0,0,0,0,0,34273,0,0,120790,54815,175605,436,0,301766,60165,0,0,0
KARS,2011,0,0,2891,57810,0,12644,31911,45166,93295,91264,0,184559,448,12,305755,85490,42275,0,12632
KARS,2012,0,387,3406,70099,0,12519,28513,57580,125338,64020,0,189358,479,15,304821,51023,54174,1340,12117
KARS,2013,0,721,3544,82622,0,13012,25165,69610,142579,48788,0,191367,489,37,300874,74934,66066,1391,12254
KARS,2014,0,764,2511,108363,0,13867,22943,94496,162612,30123,0,192735,488,43,296466,58568,91985,1468,13060
KARS,2015,0,756,2585,125400,0,14417,20336,110983,157826,36228,0,194054,523,26,292660,56098,108398,1582,13635
KARS,2016,0,1138,1851,167498,0,15457,19670,152041,191159,6666,0,197825,534,25,289786,55031,150190,1773,14294
KARS,2017,0,1966,1290,180485,0,17508,19585,162977,197694,3294,0,200988,529,25,287654,59655,161687,2112,15517
KARS,2018,0,3314,970,187010,0,19999,21197,167011,199366,1454,0,200820,528,26,288878,43664,166041,2580,16659
KARS,2019,0,4748,1173,191360,0,21668,21918,169692,198430,969,0,199399,265,27,285410,42984,168519,2768,16893
KARS,2020,0,7344,695,206940,0,29857,26413,177083,200440,902,0,201342,215,26,284923,45200,176388,2846,22487
KARS,2021,0,8906,646,216374,0,33098,27865,183276,205810,1219,0,207029,184,23,281077,46384,182630,3144,24169
KASTAMONU,2007,0,0,0,0,0,0,105091,0,0,0,0,254939,489,0,360366,118282,0,0,0
KASTAMONU,2008,0,0,0,0,0,0,99755,0,0,0,0,274959,531,0,360424,119318,0,0,0
KASTAMONU,2009,0,0,0,0,0,0,94871,0,0,0,0,269031,548,0,359823,124966,0,0,0
KASTAMONU,2010,0,0,0,0,0,0,92905,0,0,181262,80215,261477,676,0,361222,135180,0,0,0
KASTAMONU,2011,0,0,4549,84393,0,28531,87348,55862,124208,150667,0,274875,836,13,359759,141263,51313,0,28518
KASTAMONU,2012,0,1549,5479,101602,0,29524,80289,72078,154102,128099,0,282201,923,16,359808,129751,66599,1748,27959
KASTAMONU,2013,0,2615,5713,119378,0,31247,73617,88131,176354,109367,0,285721,969,28,368093,142421,82418,1818,28604
KASTAMONU,2014,0,3699,4509,154232,0,32596,66981,121636,216753,75093,0,291846,979,37,368907,128915,117127,2047,28860
KASTAMONU,2015,0,4672,4471,182633,0,33928,60282,148705,200515,88707,0,289222,989,34,372633,124595,144234,2132,29222
KASTAMONU,2016,0,6014,3784,246862,0,37643,57076,209219,269171,23938,0,293109,971,228,376945,106976,205435,2244,31401
KASTAMONU,2017,0,8148,2533,274014,0,43315,56021,230699,280734,15300,0,296034,937,388,372373,107813,228166,2406,34779
KASTAMONU,2018,0,10509,2137,294286,0,49824,58102,244462,294423,3983,0,298406,839,470,383373,98341,242325,2524,38845
KASTAMONU,2019,0,12288,2244,304972,0,52584,58394,252388,298112,1837,0,299949,605,547,379405,91732,250144,2730,39749
KASTAMONU,2020,0,15103,1757,327052,0,64013,63305,263039,301359,1504,0,302863,562,908,376377,99742,261282,2830,48002
KASTAMONU,2021,0,16996,1821,346398,0,68806,62614,277592,308469,1552,0,310021,472,1521,375592,98024,275771,3051,50289
KAYSERİ,2007,0,0,0,0,11755,0,298837,0,0,0,0,875949,1142,0,1165088,353377,0,0,0
KAYSERİ,2008,0,0,0,0,11027,0,284703,0,0,0,0,916039,1124,0,1184386,349586,0,0,0
KAYSERİ,2009,0,0,0,0,11595,0,266660,0,0,0,0,899405,1088,0,1205872,369908,0,0,0
KAYSERİ,2010,0,0,0,0,13267,0,264482,0,0,665213,229549,894762,1022,0,1234651,375262,0,0,0
KAYSERİ,2011,8590,0,19358,299316,15174,109794,244411,189522,400128,548856,0,948984,1079,70,1255349,371908,170164,0,101134
KAYSERİ,2012,9091,8585,23572,385450,15237,114968,212534,270482,567700,419404,0,987104,1119,83,1274968,342284,246910,4127,97209
KAYSERİ,2013,8167,26677,24738,472311,13479,124145,209524,348166,695088,319491,0,1014579,1119,107,1295355,367024,323428,4759,89194
KAYSERİ,2014,8455,43055,18663,604507,13131,132910,184545,471597,840032,199635,0,1039667,1083,96,1322376,322676,452934,6046,81304
KAYSERİ,2015,8769,55947,21748,693313,12756,145964,164828,547349,847812,194407,0,1042219,1074,99,1341056,329782,525601,6711,81149
KAYSERİ,2016,9997,68327,18034,890402,13184,167097,159651,723305,1029438,50639,0,1080077,1039,130,1358980,320374,705271,7486,88643
KAYSERİ,2017,10717,86643,12841,991569,13264,197362,161339,794207,1079363,29945,0,1109308,1038,147,1376722,329928,781366,8126,99855
KAYSERİ,2018,12117,100130,10141,1083368,13920,225198,169721,858170,1119036,16035,0,1135071,1115,504,1389680,327295,848029,8615,112447
KAYSERİ,2019,14832,108146,12110,1155502,15333,239799,171809,915703,1159098,9207,0,1168305,927,555,1407409,249760,903593,9426,116266
KAYSERİ,2020,20575,131828,6617,1279734,19238,293634,190020,986100,1186748,8527,0,1195275,887,647,1421455,274008,979483,10111,140584
KAYSERİ,2021,23582,146310,6372,1369862,21514,317046,185599,1052816,1246530,10414,0,1256944,825,636,1434357,274334,1046444,10914,146518
KIRIKKALE,2007,0,0,0,0,0,0,65555,0,0,0,0,228346,369,0,280234,92485,0,0,0
KIRIKKALE,2008,0,0,0,0,0,0,59236,0,0,0,0,236758,367,0,279325,88899,0,0,0
KIRIKKALE,2009,0,0,0,0,0,0,54214,0,0,0,0,221628,420,0,280834,88987,0,0,0
KIRIKKALE,2010,0,0,0,0,0,0,52475,0,0,112670,64061,176731,387,0,276647,89435,0,0,0
KIRIKKALE,2011,0,0,4023,70910,0,21181,48227,49729,94807,95324,0,190131,399,15,274992,99812,45706,0,21166
KIRIKKALE,2012,0,626,4532,84096,0,21997,43087,62099,111395,87827,0,199222,399,18,274727,68401,57567,1150,21353
KIRIKKALE,2013,0,1310,4463,98424,0,22369,40452,76055,144655,87265,0,231920,376,23,274658,77011,71592,1278,21036
KIRIKKALE,2014,0,1613,3598,128714,0,24705,36693,104009,180341,54368,0,234709,355,25,271092,70968,100411,1314,23067
KIRIKKALE,2015,0,1922,3738,152679,0,26218,33377,126461,198549,31892,0,230441,342,25,270271,74944,122723,1378,24271
KIRIKKALE,2016,0,2556,3162,200981,0,29306,32506,171675,219593,14158,0,233751,308,28,277984,77256,168513,1436,26722
KIRIKKALE,2017,0,3398,2104,216296,0,33414,31911,182882,221664,8573,0,230237,295,37,278749,78880,180778,1505,29979
KIRIKKALE,2018,0,4753,1645,228289,0,37448,34039,190841,227272,2726,0,229998,292,43,286602,29032,189196,1660,32652
KIRIKKALE,2019,0,6003,1770,237844,0,40221,34154,197623,229005,1501,0,230506,304,39,283017,29968,195853,1930,34179
KIRIKKALE,2020,0,9155,1154,252239,0,48066,36675,204173,228316,1340,0,229656,271,42,278703,46568,203019,2077,38869
KIRIKKALE,2021,0,11333,1048,263147,0,50315,35957,212832,231308,1487,0,232795,242,36,275968,60240,211784,2371,38946
KIRKLARELİ,2007,0,0,0,0,0,0,100993,0,0,0,0,268839,673,0,333256,115558,0,0,0
KIRKLARELİ,2008,0,0,0,0,0,0,98852,0,0,0,0,284249,662,0,336942,120800,0,0,0
KIRKLARELİ,2009,0,0,0,0,0,0,95517,0,0,0,0,269753,677,0,333179,117795,0,0,0
KIRKLARELİ,2010,0,0,0,0,0,0,95865,0,0,211634,77687,289321,764,0,332791,119421,0,0,0
KIRKLARELİ,2011,0,0,5353,100572,0,41757,93419,58815,130204,171853,0,302057,813,23,340199,148687,53462,0,41734
KIRKLARELİ,2012,0,1927,6426,120805,0,42834,88964,77971,164411,137912,0,302323,805,28,341218,128364,71545,2604,40879
KIRKLARELİ,2013,0,6532,6316,142532,0,46607,83615,95925,180493,105953,0,286446,810,34,340559,153131,89609,2646,40041
KIRKLARELİ,2014,0,5249,4817,173313,0,46101,77252,127212,217702,76179,0,293881,799,44,343723,117179,122395,2192,40808
KIRKLARELİ,2015,0,4789,2643,187382,0,48521,70549,138861,225853,50353,0,276206,801,38,346973,153530,136218,2462,43694
KIRKLARELİ,2016,0,4937,3244,259614,0,53783,68005,205831,271846,25232,0,297078,745,43,351684,148548,202587,2734,48803
KIRKLARELİ,2017,0,5659,1518,278940,0,60415,67687,218525,277452,15281,0,292733,526,59,356050,156425,217007,2961,54697
KIRKLARELİ,2018,0,7146,943,295762,0,67865,69584,227897,284065,8633,0,292698,530,516,360860,114217,226954,3230,60203
KIRKLARELİ,2019,0,9127,1047,300249,0,71138,68688,229111,280778,7266,0,288044,509,804,361836,113874,228064,3594,61207
KIRKLARELİ,2020,0,12858,483,318833,0,82733,72356,236100,282557,11641,0,294198,478,1117,361737,141022,235617,3811,68758
KIRKLARELİ,2021,0,17219,1021,360479,0,90122,71551,270357,313121,11753,0,324874,394,2365,366363,121728,269336,4136,70538
KIRŞEHİR,2007,0,0,0,0,0,0,53587,0,0,0,0,166073,247,0,223170,62617,0,0,0
KIRŞEHİR,2008,0,0,0,0,0,0,50187,0,0,0,0,177828,250,0,222735,62216,0,0,0
KIRŞEHİR,2009,0,0,0,0,0,0,47607,0,0,0,0,176901,266,0,223102,63402,0,0,0
KIRŞEHİR,2010,0,0,0,0,0,0,47008,0,0,107385,58145,165530,272,0,221876,65852,0,0,0
KIRŞEHİR,2011,0,0,2942,54956,0,15054,43418,39902,85418,86454,0,171872,271,10,221015,64039,36960,0,15044
KIRŞEHİR,2012,0,246,3661,63955,0,15278,38963,48677,103716,76791,0,180507,303,12,221209,64183,45016,1231,15020
KIRŞEHİR,2013,0,585,3802,76788,0,15903,34781,60885,119325,68276,0,187601,300,16,223498,61765,57083,1298,15302
KIRŞEHİR,2014,0,684,2846,99889,0,17519,31317,82370,146347,44413,0,190760,293,18,222707,91527,79524,1468,16817
KIRŞEHİR,2015,0,854,3203,119027,0,18909,28401,100118,163549,25846,0,189395,292,19,225562,64285,96915,1489,18036
KIRŞEHİR,2016,0,1377,2822,160526,0,21128,28814,139398,180832,12293,0,193125,288,139,229975,64173,136576,1555,19612
KIRŞEHİR,2017,0,2090,1907,177189,0,24876,29988,152313,186594,7820,0,194414,247,14,234529,60544,150406,1733,22772
KIRŞEHİR,2018,0,3211,1489,192220,0,29775,32187,162445,195802,2235,0,198037,209,22,241868,77000,160956,1741,26542
KIRŞEHİR,2019,0,4084,1652,198825,0,32048,34059,166777,197295,1141,0,198436,154,220,242938,43232,165125,1859,27744
KIRŞEHİR,2020,0,5994,1024,212257,0,39082,35779,173175,195536,887,0,196423,130,271,243042,44728,172151,1990,32817
KIRŞEHİR,2021,0,7841,915,226972,0,46194,35609,180778,202313,1001,0,203314,106,4652,242944,46624,179863,2237,33701
KOCAELİ,2007,0,0,0,0,29088,0,384865,0,0,0,0,1094077,1275,0,1437926,450267,0,0,0
KOCAELİ,2008,0,0,0,0,27503,0,386003,0,0,0,0,1426167,1292,0,1490358,527109,0,0,0
KOCAELİ,2009,0,0,0,0,26906,0,372958,0,0,0,0,1407284,1337,0,1522408,492585,0,0,0
KOCAELİ,2010,0,0,0,0,28034,0,371508,0,0,925919,487977,1413896,1388,0,1560138,522409,0,0,0
KOCAELİ,2011,10105,8993,29140,534275,27314,198171,353966,336104,717534,769666,0,1487200,1330,648,1601720,540883,306964,0,178425
KOCAELİ,2012,10738,17045,35297,663427,26196,199652,324638,463775,973165,592981,0,1566146,1459,765,1634691,535670,428478,4079,171104
KOCAELİ,2013,10550,23485,34392,776262,24507,210354,314909,565908,1129367,463107,0,1592474,1434,541,1676202,655242,531516,4457,175778
KOCAELİ,2014,12251,27317,29567,971496,24395,215314,287792,756182,1315505,303428,0,1618933,1403,498,1722795,615609,726615,4496,175248
KOCAELİ,2015,13357,33138,33402,1128144,23654,225983,260494,902161,1269375,384555,0,1653930,1380,532,1780055,600393,868759,5236,178956
KOCAELİ,2016,15034,39080,26573,1431909,23590,257396,244237,1174513,1621191,90957,0,1712148,1287,9668,1830772,582873,1147940,5587,193614
KOCAELİ,2017,16590,45113,16686,1580127,23888,294996,238513,1285131,1711007,54293,0,1765300,874,13023,1883270,592542,1268445,6170,220270
KOCAELİ,2018,18706,51407,12043,1700938,24518,333249,241656,1367689,1780885,35113,0,1815998,841,23076,1906391,581649,1355646,6986,240060
KOCAELİ,2019,21976,58408,13181,1784450,25249,360054,236704,1424396,1840570,29151,0,1869721,729,37807,1953035,420489,1411215,7889,241863
KOCAELİ,2020,26539,76264,8338,1935214,27559,425238,247725,1509976,1872248,34904,0,1907152,556,54977,1997258,428935,1501638,8855,267458
KOCAELİ,2021,28687,99229,7728,2057746,28471,457583,244256,1600163,1962652,65769,0,2028421,519,54592,2033441,395160,1592435,10393,275075
KONYA,2007,0,0,0,0,16872,0,475370,0,0,0,0,1526306,1750,0,1959082,541286,0,0,0
KONYA,2008,0,0,0,0,17434,0,443495,0,0,0,0,1604637,1742,0,1969868,546385,0,0,0
KONYA,2009,0,0,0,0,18345,0,411128,0,0,0,0,1544380,1802,0,1992675,546784,0,0,0
KONYA,2010,0,0,0,0,25090,0,392428,0,0,1108831,397240,1506071,1701,0,2013845,553714,0,0,0
KONYA,2011,22582,0,29199,472041,32390,163209,350050,308832,693270,907377,0,1600647,1776,3653,2038555,544154,279633,0,136974
KONYA,2012,24352,6809,34270,593908,33471,166432,306172,427476,928319,737882,0,1666201,1849,4307,2052281,538381,393206,5767,130964
KONYA,2013,23246,14101,39526,729062,32014,176522,280115,552540,1123204,587387,0,1710591,1892,3204,2079225,631599,513014,6003,135971
KONYA,2014,28506,14408,31512,942649,36191,188358,252112,754291,1379046,364823,0,1743869,1853,809,2108808,639138,722779,5988,144635
KONYA,2015,32427,15006,37362,1121637,39061,201281,230067,920356,1384170,379896,0,1764066,1762,194,2130544,629423,882994,6853,153654
KONYA,2016,44987,16331,32872,1498187,50477,233046,235874,1265141,1748229,98203,0,1846432,1259,699,2161303,461714,1232269,7317,171029
KONYA,2017,55361,20141,23482,1678015,60186,274401,260018,1403614,1849065,64430,0,1913495,943,2286,2180149,454845,1380132,8156,196613
KONYA,2018,66668,24928,19660,1809120,69461,319852,274399,1489268,1889381,33062,0,1922443,753,5025,2205609,373543,1469608,9057,223231
KONYA,2019,79674,28605,20260,1899720,76521,352044,270751,1547676,1908319,17499,0,1925818,718,14242,2232374,355687,1527416,10254,229523
KONYA,2020,105929,38653,12225,2084942,95275,435114,305984,1649828,1935594,19813,0,1955407,760,19740,2250020,412424,1637603,11335,272942
KONYA,2021,115085,49846,11052,2218974,105580,481613,305456,1737361,2029153,23617,0,2052770,956,28518,2277017,391471,1726309,12580,288164
KÜTAHYA,2007,0,0,0,0,0,0,152299,0,0,0,0,430646,774,0,583910,171591,0,0,0
KÜTAHYA,2008,0,0,0,0,0,0,146426,0,0,0,0,455702,769,0,565884,170770,0,0,0
KÜTAHYA,2009,0,0,0,0,0,0,138718,0,0,0,0,439574,780,0,571804,174122,0,0,0
KÜTAHYA,2010,0,0,0,0,0,0,134092,0,0,307289,129614,436903,776,0,590496,174250,0,0,0
KÜTAHYA,2011,0,0,8455,140282,0,45469,121246,94813,208218,252858,0,461076,751,30,564264,188851,86358,0,45439
KÜTAHYA,2012,0,1640,10083,175737,0,46898,109652,128839,253981,217626,0,471607,792,36,573421,155388,118756,2494,45222
KÜTAHYA,2013,0,2564,10036,206627,0,49793,100784,156834,298584,179020,0,477604,779,53,572059,163280,146798,2514,47176
KÜTAHYA,2014,0,2608,7120,261625,0,51453,92051,210172,364328,117573,0,481901,726,52,571554,164608,203052,2647,48793
KÜTAHYA,2015,0,2545,6746,308033,0,54593,83517,253440,326841,147755,0,474596,756,54,571463,163110,246694,2665,51994
KÜTAHYA,2016,0,2683,6187,402385,0,59748,76889,342637,444682,35129,0,479811,705,61,573642,166088,336450,2787,57004
KÜTAHYA,2017,0,3588,3882,441323,0,68847,75202,372476,457139,22850,0,479989,671,71,572256,162392,368594,2931,65188
